Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
1976-01-01T00:00:00Z,1976.0000000,7671,6480,977.21
1976-01-02T00:00:00Z,1976.0027322,6706,6430,994.50
1976-01-03T00:00:00Z,1976.0054645,6353,6437,1001.78
1976-01-04T00:00:00Z,1976.0081967,6426,6428,1000.05
1976-01-05T00:00:00Z,1976.0109290,6377,6399,1000.50
1976-01-06T00:00:00Z,1976.0136612,6028,6384,1007.76
1976-01-07T00:00:00Z,1976.0163934,6668,6408,994.91
1976-01-08T00:00:00Z,1976.0191257,7159,6370,984.27
1976-01-09T00:00:00Z,1976.0218579,6284,6371,1002.01
1976-01-10T00:00:00Z,1976.0245902,6002,6412,1008.98
1976-01-11T00:00:00Z,1976.0273224,6885,6435,990.94
1976-01-12T00:00:00Z,1976.0300546,7259,6444,983.93
1976-01-13T00:00:00Z,1976.0327869,6700,6414,994.20
1976-01-14T00:00:00Z,1976.0355191,6171,6422,1005.43
1976-01-15T00:00:00Z,1976.0382514,5643,6423,1017.53
1976-01-16T00:00:00Z,1976.0409836,5681,6446,1017.10
1976-01-17T00:00:00Z,1976.0437158,5984,6455,1010.24
1976-01-18T00:00:00Z,1976.0464481,6260,6454,1004.17
1976-01-19T00:00:00Z,1976.0491803,7084,6473,987.91
1976-01-20T00:00:00Z,1976.0519126,8506,6497,963.87
1976-01-21T00:00:00Z,1976.0546448,8651,6441,960.19
1976-01-22T00:00:00Z,1976.0573770,7680,6423,975.98
1976-01-23T00:00:00Z,1976.0601093,6959,6374,988.17
1976-01-24T00:00:00Z,1976.0628415,6532,6365,996.50
1976-01-25T00:00:00Z,1976.0655738,6407,6405,999.95
1976-01-26T00:00:00Z,1976.0683060,6519,6405,997.62
1976-01-27T00:00:00Z,1976.0710383,6139,6390,1005.44
1976-01-28T00:00:00Z,1976.0737705,5777,6393,1013.69
1976-01-29T00:00:00Z,1976.0765027,5568,6390,1018.62
1976-01-30T00:00:00Z,1976.0792350,5397,6396,1022.96
1976-01-31T00:00:00Z,1976.0819672,5743,6366,1013.95
1976-02-01T00:00:00Z,1976.0846995,5565,6360,1018.04
1976-02-02T00:00:00Z,1976.0874317,5615,6355,1016.73
1976-02-03T00:00:00Z,1976.0901639,5450,6368,1021.06
1976-02-04T00:00:00Z,1976.0928962,5443,6412,1022.19
1976-02-05T00:00:00Z,1976.0956284,5762,6410,1014.42
1976-02-06T00:00:00Z,1976.0983607,5416,6405,1022.70
1976-02-07T00:00:00Z,1976.1010929,5408,6418,1023.15
1976-02-08T00:00:00Z,1976.1038251,5436,6408,1022.23
1976-02-09T00:00:00Z,1976.1065574,5452,6397,1021.63
1976-02-10T00:00:00Z,1976.1092896,6200,6404,1004.46
1976-02-11T00:00:00Z,1976.1120219,6211,6406,1004.19
1976-02-12T00:00:00Z,1976.1147541,6007,6444,1009.50
1976-02-13T00:00:00Z,1976.1174863,5644,6442,1017.93
1976-02-14T00:00:00Z,1976.1202186,5263,6443,1027.34
1976-02-15T00:00:00Z,1976.1229508,5516,6464,1021.47
1976-02-16T00:00:00Z,1976.1256831,5947,6450,1010.99
1976-02-17T00:00:00Z,1976.1284153,5618,6444,1018.55
1976-02-18T00:00:00Z,1976.1311475,5480,6376,1020.45
1976-02-19T00:00:00Z,1976.1338798,5442,6383,1021.56
1976-02-20T00:00:00Z,1976.1366120,5096,6388,1030.54
1976-02-21T00:00:00Z,1976.1393443,4812,6386,1038.27
1976-02-22T00:00:00Z,1976.1420765,4660,6408,1043.05
1976-02-23T00:00:00Z,1976.1448087,4894,6429,1036.94
1976-02-24T00:00:00Z,1976.1475410,5839,6454,1013.79
1976-02-25T00:00:00Z,1976.1502732,7374,6487,982.86
1976-02-26T00:00:00Z,1976.1530055,7561,6475,979.10
1976-02-27T00:00:00Z,1976.1557377,6476,6441,999.43
1976-02-28T00:00:00Z,1976.1584699,5783,6404,1013.82
1976-02-29T00:00:00Z,1976.1612022,6154,6402,1005.48
1976-03-01T00:00:00Z,1976.1639344,6731,6383,992.82
1976-03-02T00:00:00Z,1976.1666667,6231,6419,1004.15
1976-03-03T00:00:00Z,1976.1693989,5259,6434,1027.38
1976-03-04T00:00:00Z,1976.1721311,4907,6446,1036.88
1976-03-05T00:00:00Z,1976.1748634,4869,6437,1037.73
1976-03-06T00:00:00Z,1976.1775956,4832,6455,1039.12
1976-03-07T00:00:00Z,1976.1803279,4835,6430,1038.52
1976-03-08T00:00:00Z,1976.1830601,4893,6407,1036.43
1976-03-09T00:00:00Z,1976.1857923,5215,6417,1028.07
1976-03-10T00:00:00Z,1976.1885246,5324,6457,1026.07
1976-03-11T00:00:00Z,1976.1912568,5503,6479,1022.10
1976-03-12T00:00:00Z,1976.1939891,5548,6481,1021.01
1976-03-13T00:00:00Z,1976.1967213,5653,6510,1019.09
1976-03-14T00:00:00Z,1976.1994536,5552,6530,1021.92
1976-03-15T00:00:00Z,1976.2021858,5638,6513,1019.50
1976-03-16T00:00:00Z,1976.2049180,5944,6489,1011.86
1976-03-17T00:00:00Z,1976.2076503,5905,6465,1012.25
1976-03-18T00:00:00Z,1976.2103825,5848,6437,1012.97
1976-03-19T00:00:00Z,1976.2131148,5470,6421,1021.70
1976-03-20T00:00:00Z,1976.2158470,5098,6425,1031.26
1976-03-21T00:00:00Z,1976.2185792,4989,6423,1034.12
1976-03-22T00:00:00Z,1976.2213115,5127,6444,1030.90
1976-03-23T00:00:00Z,1976.2240437,5354,6447,1025.10
1976-03-24T00:00:00Z,1976.2267760,5618,6439,1018.45
1976-03-25T00:00:00Z,1976.2295082,5840,6441,1013.22
1976-03-26T00:00:00Z,1976.2322404,6036,6431,1008.59
1976-03-27T00:00:00Z,1976.2349727,6187,6324,1002.98
1976-03-28T00:00:00Z,1976.2377049,6544,6341,995.82
1976-03-29T00:00:00Z,1976.2404372,6898,6329,988.38
1976-03-30T00:00:00Z,1976.2431694,7268,6202,978.56
1976-03-31T00:00:00Z,1976.2459016,6720,6124,987.49
1976-04-01T00:00:00Z,1976.2486339,6354,6078,994.04
1976-04-02T00:00:00Z,1976.2513661,5922,6099,1004.01
1976-04-03T00:00:00Z,1976.2540984,5751,6181,1009.78
1976-04-04T00:00:00Z,1976.2568306,5564,6258,1015.89
1976-04-05T00:00:00Z,1976.2595628,6302,6340,1001.07
1976-04-06T00:00:00Z,1976.2622951,7137,6389,985.06
1976-04-07T00:00:00Z,1976.2650273,6816,6404,991.70
1976-04-08T00:00:00Z,1976.2677596,5877,6399,1011.57
1976-04-09T00:00:00Z,1976.2704918,5705,6414,1015.85
1976-04-10T00:00:00Z,1976.2732240,6002,6412,1008.92
1976-04-11T00:00:00Z,1976.2759563,6225,6402,1003.79
1976-04-12T00:00:00Z,1976.2786885,5993,6362,1008.11
1976-04-13T00:00:00Z,1976.2814208,5587,6379,1017.98
1976-04-14T00:00:00Z,1976.2841530,5317,6363,1024.26
1976-04-15T00:00:00Z,1976.2868852,5468,6384,1020.95
1976-04-16T00:00:00Z,1976.2896175,5966,6401,1009.53
1976-04-17T00:00:00Z,1976.2923497,6686,6433,995.08
1976-04-18T00:00:00Z,1976.2950820,7060,6444,988.05
1976-04-19T00:00:00Z,1976.2978142,6230,6437,1004.43
1976-04-20T00:00:00Z,1976.3005464,6065,6440,1008.12
1976-04-21T00:00:00Z,1976.3032787,5760,6426,1014.88
1976-04-22T00:00:00Z,1976.3060109,5364,6420,1024.28
1976-04-23T00:00:00Z,1976.3087432,5492,6431,1021.33
1976-04-24T00:00:00Z,1976.3114754,5793,6432,1014.14
1976-04-25T00:00:00Z,1976.3142077,5714,6453,1016.43
1976-04-26T00:00:00Z,1976.3169399,5615,6433,1018.38
1976-04-27T00:00:00Z,1976.3196721,0,0,0.00
1976-04-28T00:00:00Z,1976.3224044,0,0,0.00
1976-04-29T00:00:00Z,1976.3251366,5952,6412,1010.06
1976-04-30T00:00:00Z,1976.3278689,5910,6414,1011.06
1976-05-01T00:00:00Z,1976.3306011,5844,6392,1012.10
1976-05-02T00:00:00Z,1976.3333333,5809,6400,1013.10
1976-05-03T00:00:00Z,1976.3360656,5980,6311,1007.28
1976-05-04T00:00:00Z,1976.3387978,6136,6348,1004.61
1976-05-05T00:00:00Z,1976.3415301,5908,6395,1010.71
1976-05-06T00:00:00Z,1976.3442623,5737,6414,1015.08
1976-05-07T00:00:00Z,1976.3469945,5802,6448,1014.29
1976-05-08T00:00:00Z,1976.3497268,5790,6469,1014.99
1976-05-09T00:00:00Z,1976.3524590,5747,6441,1015.40
1976-05-10T00:00:00Z,1976.3551913,5855,6434,1012.77
1976-05-11T00:00:00Z,1976.3579235,6131,6449,1006.83
1976-05-12T00:00:00Z,1976.3606557,6181,6421,1005.16
1976-05-13T00:00:00Z,1976.3633880,6074,6438,1007.85
1976-05-14T00:00:00Z,1976.3661202,6062,6467,1008.75
1976-05-15T00:00:00Z,1976.3688525,5883,6462,1012.70
1976-05-16T00:00:00Z,1976.3715847,5702,6443,1016.53
1976-05-17T00:00:00Z,1976.3743169,5481,6439,1021.78
1976-05-18T00:00:00Z,1976.3770492,5406,6461,1024.08
1976-05-19T00:00:00Z,1976.3797814,5425,6453,1023.43
1976-05-20T00:00:00Z,1976.3825137,5364,6455,1025.02
1976-05-21T00:00:00Z,1976.3852459,5265,6441,1027.26
1976-05-22T00:00:00Z,1976.3879781,5191,6363,1027.50
1976-05-23T00:00:00Z,1976.3907104,5196,6334,1026.76
1976-05-24T00:00:00Z,1976.3934426,5224,6347,1026.30
1976-05-25T00:00:00Z,1976.3961749,5466,6382,1021.00
1976-05-26T00:00:00Z,1976.3989071,5480,6387,1020.71
1976-05-27T00:00:00Z,1976.4016393,5424,6405,1022.47
1976-05-28T00:00:00Z,1976.4043716,5545,6420,1019.81
1976-05-29T00:00:00Z,1976.4071038,5618,6394,1017.49
1976-05-30T00:00:00Z,1976.4098361,5996,6399,1008.80
1976-05-31T00:00:00Z,1976.4125683,6111,6394,1006.12
1976-06-01T00:00:00Z,1976.4153005,6015,6404,1008.47
1976-06-02T00:00:00Z,1976.4180328,5884,6425,1011.90
1976-06-03T00:00:00Z,1976.4207650,5894,6430,1011.77
1976-06-04T00:00:00Z,1976.4234973,5821,6421,1013.28
1976-06-05T00:00:00Z,1976.4262295,6040,6431,1008.50
1976-06-06T00:00:00Z,1976.4289617,6120,6444,1006.99
1976-06-07T00:00:00Z,1976.4316940,6194,6447,1005.42
1976-06-08T00:00:00Z,1976.4344262,5726,6434,1015.81
1976-06-09T00:00:00Z,1976.4371585,5407,6443,1023.67
1976-06-10T00:00:00Z,1976.4398907,5520,6485,1021.78
1976-06-11T00:00:00Z,1976.4426230,5732,6469,1016.36
1976-06-12T00:00:00Z,1976.4453552,6160,6512,1007.55
1976-06-13T00:00:00Z,1976.4480874,6328,6508,1003.80
1976-06-14T00:00:00Z,1976.4508197,6105,6516,1008.80
1976-06-15T00:00:00Z,1976.4535519,6150,6510,1007.70
1976-06-16T00:00:00Z,1976.4562842,5985,6511,1011.40
1976-06-17T00:00:00Z,1976.4590164,6086,6463,1008.14
1976-06-18T00:00:00Z,1976.4617486,6301,6441,1003.00
1976-06-19T00:00:00Z,1976.4644809,6588,6423,996.58
1976-06-20T00:00:00Z,1976.4672131,6622,6444,996.32
1976-06-21T00:00:00Z,1976.4699454,6461,6403,998.78
1976-06-22T00:00:00Z,1976.4726776,6248,6397,1003.24
1976-06-23T00:00:00Z,1976.4754098,5819,6433,1013.55
1976-06-24T00:00:00Z,1976.4781421,5848,6439,1013.02
1976-06-25T00:00:00Z,1976.4808743,5710,6376,1014.92
1976-06-26T00:00:00Z,1976.4836066,5638,6390,1016.92
1976-06-27T00:00:00Z,1976.4863388,6061,6396,1007.32
1976-06-28T00:00:00Z,1976.4890710,6625,6418,995.76
1976-06-29T00:00:00Z,1976.4918033,5971,6415,1009.70
1976-06-30T00:00:00Z,1976.4945355,6045,6432,1008.40
1976-07-01T00:00:00Z,1976.4972678,5707,6410,1015.70
1976-07-02T00:00:00Z,1976.5000000,5738,6410,1014.97
1976-07-03T00:00:00Z,1976.5027322,5826,6418,1013.10
1976-07-04T00:00:00Z,1976.5054645,5742,6422,1015.13
1976-07-05T00:00:00Z,1976.5081967,5744,6439,1015.43
1976-07-06T00:00:00Z,1976.5109290,5792,6438,1014.28
1976-07-07T00:00:00Z,1976.5136612,5990,6466,1010.33
1976-07-08T00:00:00Z,1976.5163934,5917,6478,1012.23
1976-07-09T00:00:00Z,1976.5191257,6177,6496,1006.83
1976-07-10T00:00:00Z,1976.5218579,6235,6491,1005.45
1976-07-11T00:00:00Z,1976.5245902,5989,6517,1011.42
1976-07-12T00:00:00Z,1976.5273224,5824,6524,1015.34
1976-07-13T00:00:00Z,1976.5300546,5866,6514,1014.19
1976-07-14T00:00:00Z,1976.5327869,5943,6524,1012.60
1976-07-15T00:00:00Z,1976.5355191,5850,6512,1014.51
1976-07-16T00:00:00Z,1976.5382514,5716,6469,1016.71
1976-07-17T00:00:00Z,1976.5409836,5717,6461,1016.55
1976-07-18T00:00:00Z,1976.5437158,5850,6443,1013.06
1976-07-19T00:00:00Z,1976.5464481,5800,6456,1014.48
1976-07-20T00:00:00Z,1976.5491803,6018,6465,1009.70
1976-07-21T00:00:00Z,1976.5519126,6146,6456,1006.66
1976-07-22T00:00:00Z,1976.5546448,5919,6445,1011.52
1976-07-23T00:00:00Z,1976.5573770,5754,6445,1015.35
1976-07-24T00:00:00Z,1976.5601093,5660,6436,1017.37
1976-07-25T00:00:00Z,1976.5628415,5820,6445,1013.80
1976-07-26T00:00:00Z,1976.5655738,6118,6469,1007.55
1976-07-27T00:00:00Z,1976.5683060,6353,6499,1003.08
1976-07-28T00:00:00Z,1976.5710383,6852,6499,992.90
1976-07-29T00:00:00Z,1976.5737705,7055,6502,988.97
1976-07-30T00:00:00Z,1976.5765027,6802,6481,993.50
1976-07-31T00:00:00Z,1976.5792350,6692,6490,995.88
1976-08-01T00:00:00Z,1976.5819672,6541,6481,998.88
1976-08-02T00:00:00Z,1976.5846995,6038,6481,1009.58
1976-08-03T00:00:00Z,1976.5874317,6374,6501,1002.68
1976-08-04T00:00:00Z,1976.5901639,5988,6487,1010.82
1976-08-05T00:00:00Z,1976.5928962,5988,6497,1011.03
1976-08-06T00:00:00Z,1976.5956284,5992,6498,1010.97
1976-08-07T00:00:00Z,1976.5983607,5842,6495,1014.32
1976-08-08T00:00:00Z,1976.6010929,5718,6490,1017.12
1976-08-09T00:00:00Z,1976.6038251,5526,6493,1021.81
1976-08-10T00:00:00Z,1976.6065574,5427,6513,1024.64
1976-08-11T00:00:00Z,1976.6092896,5464,6538,1024.26
1976-08-12T00:00:00Z,1976.6120219,5494,6523,1023.18
1976-08-13T00:00:00Z,1976.6147541,5499,6531,1023.25
